DiabetesTypeOne,DiabetesTypeTwo,liverDisease,heartDisease,kidneyDisease,Flu,Fever,LowBP,HighBP,Recommended,Recommended2,Recommended3,Recommended4,Recommended5
no,yes,no,no,no,no,no,yes,no,PakistaniShamiKababs,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,yes,no,no,no,no,no,no,yes ,PakistaniShamiKababs,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,yes,no,no,no,no,no,no,no,PakistaniShamiKababs,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,no,yes,yes,yes,yes,yes,yes,yes,PakistaniShamiKababs,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,no,yes,yes,yes,yes,yes,yes,no,PakistaniShamiKababs,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,no,yes,yes,yes,yes,yes,no,yes,PakistaniShamiKababs,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,no,yes,yes,yes,yes,yes,no,no,PakistaniShamiKababs,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,no,yes,yes,yes,yes,no,yes,yes,PalakChicken,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,no,yes,yes,yes,yes,no,yes,no,PalakChicken,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,no,yes,yes,yes,yes,no,no,yes,PalakChicken,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,no,yes,yes,yes,yes,no,no,no,PalakChicken,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,no,yes,yes,yes,no,yes,yes,yes,PalakChicken,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,no,yes,yes,yes,no,yes,yes,no,PalakChicken,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,no,yes,yes,yes,no,yes,no,yes,PalakChicken,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,no,yes,yes,yes,no,yes,no,no,ArabicSeekhKabab,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,no,yes,yes,yes,no,no,yes,yes,ArabicSeekhKabab,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,no,yes,yes,yes,no,no,yes,no,ArabicSeekhKabab,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,no,yes,yes,yes,no,no,no,yes,ArabicSeekhKabab,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,no,yes,yes,yes,no,no,no,no,ArabicSeekhKabab,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,no,yes,yes,no,yes,yes,yes,yes,ArabicSeekhKabab,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,no,yes,yes,no,yes,yes,yes,no,ArabicSeekhKabab,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,no,yes,yes,no,yes,yes,no,yes,ChickencornSoup,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,no,yes,yes,no,yes,yes,no,no,ChickencornSoup,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,no,yes,yes,no,yes,no,yes,yes,ChickencornSoup,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,no,yes,yes,no,yes,no,yes,no,ChickencornSoup,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,no,yes,yes,no,yes,no,no,yes,ChickencornSoup,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,no,yes,yes,no,yes,no,no,no,ChickencornSoup,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,no,yes,yes,no,no,yes,yes,yes,ChickencornSoup,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,no,yes,yes,no,no,yes,yes,no,TawaChickenfry,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,no,yes,yes,no,no,yes,no,yes,TawaChickenfry,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,no,yes,yes,no,no,yes,no,no,TawaChickenfry,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,no,yes,yes,no,no,no,yes,yes,TawaChickenfry,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,no,yes,yes,no,no,no,yes,no,TawaChickenfry,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,no,yes,yes,no,no,no,no,yes ,TawaChickenfry,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,no,yes,yes,no,no,no,no,no,TawaChickenfry,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,no,yes,no,yes,yes,yes,yes,yes,PepperChickenFry,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,no,yes,no,yes,yes,yes,yes,no,PepperChickenFry,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,no,yes,no,yes,yes,yes,no,yes,PepperChickenFry,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,no,yes,no,yes,yes,yes,no,no,PepperChickenFry,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,no,yes,no,yes,yes,no,yes,yes,PepperChickenFry,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,no,yes,no,yes,yes,no,yes,no,PepperChickenFry,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,no,yes,no,yes,yes,no,no,yes,PepperChickenFry,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,no,yes,no,yes,yes,no,no,no,AlooGobi,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,no,yes,no,yes,no,yes,yes,yes,AlooGobi,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,no,yes,no,yes,no,yes,yes,no,AlooGobi,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,no,yes,no,yes,no,yes,no,yes,AlooGobi,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,no,yes,no,yes,no,yes,no,no,AlooGobi,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,no,yes,no,yes,no,no,yes,yes,AlooGobi,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,no,yes,no,yes,no,no,yes,no,AlooGobi,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,no,yes,no,yes,no,no,no,yes,Smokedsalmon,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,no,yes,no,yes,no,no,no,no,Smokedsalmon,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,no,yes,no,no,yes,yes,yes,yes,Smokedsalmon,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,no,yes,no,no,yes,yes,yes,no,Smokedsalmon,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,no,yes,no,no,yes,yes,no,yes,Smokedsalmon,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,no,yes,no,no,yes,yes,no,no,Smokedsalmon,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,no,yes,no,no,yes,no,yes,yes,Smokedsalmon,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,no,yes,no,no,yes,no,yes,no,mixvegitables,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,no,yes,no,no,yes,no,no,yes,mixvegitables,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,no,yes,no,no,yes,no,no,no,mixvegitables,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,no,yes,no,no,no,yes,yes,yes,mixvegitables,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,no,yes,no,no,no,yes,yes,no,mixvegitables,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,no,yes,no,no,no,yes,no,yes,mixvegitables,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,no,yes,no,no,no,yes,no,no,mixvegitables,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,no,yes,no,no,no,no,yes,yes,SteelcutOats,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,no,yes,no,no,no,no,yes,no,SteelcutOats,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,no,yes,no,no,no,no,no,yes ,SteelcutOats,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,no,yes,no,no,no,no,no,no,SteelcutOats,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,no,no,yes,yes,yes,yes,yes,yes,SteelcutOats,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,no,no,yes,yes,yes,yes,yes,no,SteelcutOats,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,no,no,yes,yes,yes,yes,no,yes,SteelcutOats,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,no,no,yes,yes,yes,yes,no,no,AlooGobiMatar,PumpkinBhaji,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,no,no,yes,yes,yes,no,yes,yes,EASYHONEYGARLICSALMON,JeeraAloo,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,no,no,yes,yes,yes,no,yes,no,HydrabadiHaleem,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,no,no,yes,yes,yes,no,no,yes,ChickenKeemaParatha,ChickenPuffs,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,no,no,yes,yes,yes,no,no,no,TawaChickenfry,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,no,no,yes,yes,no,yes,yes,yes,SteelcutOats,PepperChickenFry,AlooGobi,Smokedsalmon,mixvegitables
no,no,no,yes,yes,no,yes,yes,no,mixvegitables,TawaChickenfry,PepperChickenFry,AlooGobi,Smokedsalmon
no,no,no,yes,yes,no,yes,no,yes,ChickencornSoup,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,no,no,yes,yes,no,yes,no,no,ChickenNuggets,HydrabadiHaleem,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,no,no,yes,yes,no,no,yes,yes,ChickensaladSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,no,no,yes,yes,no,no,yes,no,BoiledGreenVegetables,AlooGobiMatar,JeeraAloo,BabyPotato,EasyBoiledRice
no,no,no,yes,yes,no,no,no,yes,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar,SteelcutOats
no,no,no,yes,yes,no,no,no,no,Smokedsalmon,ChickencornSoup,TawaChickenfry,PepperChickenFry,AlooGobi
no,no,no,yes,no,yes,yes,yes,yes,ArabicSeekhKabab,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,no,no,yes,no,yes,yes,yes,no,SafedMurghKurma,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,no,no,yes,no,yes,yes,no,yes,ChickenMayyonaisSandwitch,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,no,no,yes,no,yes,yes,no,no,EasyBoiledRice,CabbageChanaDal,AlooGobiMatar,JeeraAloo,BabyPotato
no,no,no,yes,no,yes,no,yes,yes,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats,mixvegitables
no,no,no,yes,no,yes,no,yes,no,AlooGobi,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,no,no,yes,no,yes,no,no,yes,PalakChicken,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,no,no,yes,no,yes,no,no,no,ChickenKarahi,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,no,no,yes,no,no,yes,yes,yes,WhiteChickenKorma,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,no,no,yes,no,no,yes,yes,no,BabyPotato,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,no,no,yes,no,no,yes,no,yes,AlooPalak,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
no,no,no,yes,no,no,yes,no,no,PepperChickenFry,PalakChicken,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,no,no,yes,no,no,no,yes,yes,PakistaniShamiKababs,ChickenKarahi,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,no,no,yes,no,no,no,yes,no,ChickenPuffs,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,no,no,yes,no,no,no,no,yes ,MuttonDumBiryani,BabyPotato,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,no,no,yes,no,no,no,no,no,JeeraAloo,AlooPalak,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,no,no,no,yes,yes,yes,yes,yes,PumpkinBhaji,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,no,no,no,yes,yes,yes,yes,no,TawaChickenfry,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,no,no,no,yes,yes,yes,no,yes,ChickenKeemaParatha,ChickenPuffs,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,no,no,no,yes,yes,yes,no,no,HydrabadiHaleem,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,no,no,no,yes,yes,no,yes,yes,EASYHONEYGARLICSALMON,JeeraAloo,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,no,no,no,yes,yes,no,yes,no,AlooGobiMatar,PumpkinBhaji,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,no,no,no,yes,yes,no,no,yes,SteelcutOats,PepperChickenFry,AlooGobi,Smokedsalmon,mixvegitables
no,no,no,no,yes,yes,no,no,no,ChickencornSoup,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,no,no,no,yes,no,yes,yes,yes,ChickenNuggets,HydrabadiHaleem,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,no,no,no,yes,no,yes,yes,no,ChickensaladSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,no,no,no,yes,no,yes,no,yes,BoiledGreenVegetables,AlooGobiMatar,JeeraAloo,BabyPotato,EasyBoiledRice
no,no,no,no,yes,no,yes,no,no,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar,SteelcutOats
no,no,no,no,yes,no,no,yes,yes,mixvegitables,TawaChickenfry,PepperChickenFry,AlooGobi,Smokedsalmon
no,no,no,no,yes,no,no,yes,no,ArabicSeekhKabab,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,no,no,no,yes,no,no,no,yes,SafedMurghKurma,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,no,no,no,yes,no,no,no,no,ChickenMayyonaisSandwitch,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,no,no,no,no,yes,yes,yes,yes,EasyBoiledRice,CabbageChanaDal,AlooGobiMatar,JeeraAloo,BabyPotato
no,no,no,no,no,yes,yes,yes,no,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats,mixvegitables
no,no,no,no,no,yes,yes,no,yes,Smokedsalmon,ChickencornSoup,TawaChickenfry,PepperChickenFry,AlooGobi
no,no,no,no,no,yes,yes,no,no,PalakChicken,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,no,no,no,no,yes,no,yes,yes,ChickenKarahi,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,no,no,no,no,yes,no,yes,no,WhiteChickenKorma,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,no,no,no,no,yes,no,no,yes,BabyPotato,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,no,no,no,no,yes,no,no,no,AlooPalak,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
no,no,no,no,no,no,yes,yes,yes,AlooGobi,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,no,no,no,no,no,yes,yes,no,PakistaniShamiKababs,ChickenKarahi,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,no,no,no,no,no,yes,no,yes,ChickenPuffs,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,no,no,no,no,no,yes,no,no,MuttonDumBiryani,BabyPotato,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,no,no,no,no,no,no,yes,yes,JeeraAloo,AlooPalak,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,no,no,no,no,no,no,yes,no,PumpkinBhaji,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,no,no,no,no,no,no,no,yes ,PepperChickenFry,PalakChicken,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,no,no,no,no,no,no,no,no,ChickenKeemaParatha,ChickenPuffs,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,yes,yes,yes,yes,yes,yes,yes,yes,SteelcutOats,mixvegitables,Smokedsalmon,AlooGobi,PepperChickenFry
yes,yes,yes,yes,yes,yes,yes,yes,no,Smokedsalmon,TawaChickenfry,ChickencornSoup,SteelcutOats,ArabicSeekhKabab
yes,yes,yes,yes,yes,yes,yes,no,yes,PepperChickenFry,PalakChicken,SteelcutOats,ChickenKeemaParatha,mixvegitables
yes,yes,yes,yes,yes,yes,yes,no,no,PakistaniShamiKababs,ChickenKeemaParatha,mixvegitables,AlooGobi ,SafedMurghKurma
yes,yes,yes,yes,yes,yes,no,yes,yes,mixvegitables,ChickenNuggets,AlooGobi ,SteelcutOats,ChickenKarahi
yes,yes,yes,yes,yes,yes,no,yes,no,PakistaniShamiKababs,SafedMurghKurma,SteelcutOats,BoiledGreenVegetables,CabbageChanaDal
yes,yes,yes,yes,yes,yes,no,no,yes,ChickenKarahi,ChickenPuffs,Smokedsalmon,HydrabadiHaleem,BoiledGreenVegetables
yes,yes,yes,yes,yes,yes,no,no,no,AlooGobi ,HydrabadiHaleem,ChickenKarahi,EasyBoiledRice,PakistaniShamiKababs
yes,yes,yes,yes,yes,no,yes,yes,yes,SteelcutOats,ChickensaladSandwitch,Smokedsalmon,BabyPotato,mixvegitables
yes,yes,yes,yes,yes,no,yes,yes,no,Smokedsalmon,ChickencornSoup,ChickensaladSandwitch,JeeraAloo,PalakChicken
yes,yes,yes,yes,yes,no,yes,no,yes,PepperChickenFry,ChickenMayyonaisSandwitch,mixvegitables,AlooGobiMatar,CabbageChanaDal
yes,yes,yes,yes,yes,no,yes,no,no,mixvegitables,Smokedsalmon,PepperChickenFry,CabbageChanaDal,AlooPalak
yes,yes,yes,yes,yes,no,no,yes,yes,ChickenKarahi,SteelcutOats,PepperChickenFry,AlooGajarMatar,PumpkinBhaji
yes,yes,yes,yes,yes,no,no,yes,no,WhiteChickenKorma ,ChickenKarahi,ArabicSeekhKabab,AlooPalak,JeeraAloo
yes,yes,yes,yes,yes,no,no,no,yes,ArabicSeekhKabab,mixvegitables,PepperChickenFry,PumpkinBhaji,BabyPotato
yes,yes,yes,yes,yes,no,no,no,no,ChickenKarahi,MuttonDumBiryani,ArabicSeekhKabab,PepperChickenFry,Smokedsalmon
yes,yes,yes,yes,no,yes,yes,yes,yes,mixvegitables,PepperChickenFry,SteelcutOats,ArabicSeekhKabab,ChickencornSoup
yes,yes,yes,yes,no,yes,yes,yes,no,Smokedsalmon,mixvegitables,PepperChickenFry,JeeraAloo,SteelcutOats
yes,yes,yes,yes,no,yes,yes,no,yes,EASYHONEYGARLICSALMON,mixvegitables,WhiteChickenKorma ,SafedMurghKurma,JeeraAloo
yes,yes,yes,yes,no,yes,yes,no,no,ChickenKarahi,EASYHONEYGARLICSALMON,WhiteChickenKorma ,JeeraAloo,AlooGobi 
yes,yes,yes,yes,no,yes,no,yes,yes,AlooGobi ,Smokedsalmon,PalakChicken,CabbageChanaDal,SteelcutOats
yes,yes,yes,yes,no,yes,no,yes,no,PepperChickenFry,Smokedsalmon,ArabicSeekhKabab,BoiledGreenVegetables,JeeraAloo
yes,yes,yes,yes,no,yes,no,no,yes,WhiteChickenKorma ,ChickensaladSandwitch,HydrabadiHaleem,PakistaniShamiKababs,ChickenKarahi
yes,yes,yes,yes,no,yes,no,no,no,ArabicSeekhKabab,ChickenKarahi,PepperChickenFry,mixvegitables,Smokedsalmon
yes,yes,yes,yes,no,no,yes,yes,yes,mixvegitables,PalakChicken,EASYHONEYGARLICSALMON,JeeraAloo,ChickensaladSandwitch
yes,yes,yes,yes,no,no,yes,yes,no,mixvegitables,ChickensaladSandwitch,PalakChicken,CabbageChanaDal,JeeraAloo
yes,yes,yes,yes,no,no,yes,no,yes,EASYHONEYGARLICSALMON,PalakChicken,mixvegitables,AlooPalak,PepperChickenFry
yes,yes,yes,yes,no,no,yes,no,no,PepperChickenFry,SteelcutOats,EASYHONEYGARLICSALMON,PumpkinBhaji,ChickenKarahi
yes,yes,yes,yes,no,no,no,yes,yes,EASYHONEYGARLICSALMON,ChickenMayyonaisSandwitch,mixvegitables,JeeraAloo,ArabicSeekhKabab
yes,yes,yes,yes,no,no,no,yes,no,mixvegitables,ChickenKarahi,PepperChickenFry,BabyPotato,Smokedsalmon
yes,yes,yes,yes,no,no,no,no,yes ,Smokedsalmon,HydrabadiHaleem,ChickenKarahi,JeeraAloo,PumpkinBhaji
yes,yes,yes,yes,no,no,no,no,no,SteelcutOats,mixvegitables,Smokedsalmon,AlooGobi,PepperChickenFry
yes,yes,yes,no,yes,yes,yes,yes,yes,SteelcutOats,TawaChickenfry,ChickencornSoup,ArabicSeekhKabab,PalakChicken
yes,yes,yes,no,yes,yes,yes,yes,no,SteelcutOats,PakistaniShamiKababs,ChickenKeemaParatha,ChickenNuggets,SafedMurghKurma
yes,yes,yes,no,yes,yes,yes,no,yes,SteelcutOats,ChickenKarahi,ChickenPuffs,HydrabadiHaleem,ChickensaladSandwitch
yes,yes,yes,no,yes,yes,yes,no,no,SteelcutOats,ChickenMayyonaisSandwitch,WhiteChickenKorma,MuttonDumBiryani,EASYHONEYGARLICSALMON
yes,yes,yes,no,yes,yes,no,yes,yes,SteelcutOats,BoiledGreenVegetables,EasyBoiledRice,BabyPotato,JeeraAloo
yes,yes,yes,no,yes,yes,no,yes,no,SteelcutOats,AlooGobiMatar,CabbageChanaDal,AlooGajarMatar,AlooPalak
yes,yes,yes,no,yes,yes,no,no,yes,mixvegitables,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,yes,yes,no,yes,yes,no,no,no,mixvegitables,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,yes,yes,no,yes,no,yes,yes,yes,mixvegitables,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,yes,yes,no,yes,no,yes,yes,no,mixvegitables,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,yes,yes,no,yes,no,yes,no,yes,mixvegitables,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,yes,yes,no,yes,no,yes,no,no,mixvegitables,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,yes,yes,no,yes,no,no,yes,yes,mixvegitables,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,yes,yes,no,yes,no,no,yes,no,Smokedsalmon,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,yes,yes,no,yes,no,no,no,yes,Smokedsalmon,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,yes,yes,no,yes,no,no,no,no,Smokedsalmon,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,yes,yes,no,no,yes,yes,yes,yes,Smokedsalmon,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,yes,yes,no,no,yes,yes,yes,no,Smokedsalmon,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,yes,yes,no,no,yes,yes,no,yes,Smokedsalmon,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,yes,yes,no,no,yes,yes,no,no,Smokedsalmon,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,yes,yes,no,no,yes,no,yes,yes,AlooGobi,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,yes,yes,no,no,yes,no,yes,no,AlooGobi,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,yes,yes,no,no,yes,no,no,yes,AlooGobi,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,yes,yes,no,no,yes,no,no,no,AlooGobi,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,yes,yes,no,no,no,yes,yes,yes,AlooGobi,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,yes,yes,no,no,no,yes,yes,no,AlooGobi,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,yes,yes,no,no,no,yes,no,yes,AlooGobi,AlooPalak,PumpkinBhaji,mixvegitables,SteelcutOats
yes,yes,yes,no,no,no,yes,no,no,PepperChickenFry,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,yes,yes,no,no,no,no,yes,yes,PepperChickenFry,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,yes,yes,no,no,no,no,yes,no,PepperChickenFry,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,yes,yes,no,no,no,no,no,yes ,PepperChickenFry,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,yes,yes,no,no,no,no,no,no,PepperChickenFry,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
